assignment_id,assignment_name,course_id,course_name,semester,assignment_type,grading_weight,due_date,status
1,Homework #82,1,Algorithmic Toolbox,9,Homework,0.8,2021-03-07,Completed
2,Homework #70,1,Algorithmic Toolbox,9,Homework,0.8,2021-03-30,Completed
3,Homework #329,1,Algorithmic Toolbox,9,Homework,0.6,2021-03-14,Completed
4,Homework #431,1,Algorithmic Toolbox,9,Homework,0.5,2021-03-17,Completed
5,Homework #948,1,Algorithmic Toolbox,9,Homework,0.7,2021-03-07,Completed
6,Homework #754,1,Algorithmic Toolbox,9,Homework,0.6,2021-03-09,Completed
7,Participation #871,1,Algorithmic Toolbox,9,Participation,0.5,2021-04-21,Completed
8,Participation #254,1,Algorithmic Toolbox,9,Participation,0.8,2021-03-20,Completed
9,Participation #793,1,Algorithmic Toolbox,9,Participation,0.7,2021-03-22,Completed
10,Quiz #819,1,Algorithmic Toolbox,9,Quiz,1.3,2021-05-12,Completed
11,Quiz #933,1,Algorithmic Toolbox,9,Quiz,1.3,2021-04-20,Completed
12,Project #694,1,Algorithmic Toolbox,9,Project,1.3,2021-04-20,Completed
13,Midterm Exam,1,Algorithmic Toolbox,9,Exam,3,2021-04-03,Completed
14,Final Exam,1,Algorithmic Toolbox,9,Exam,5,2021-05-18,Completed
15,Homework #845,1,Algorithmic Toolbox,9,Homework,0.7,2021-04-01,Completed
16,Homework #365,1,Algorithmic Toolbox,9,Homework,0.6,2021-04-05,Completed
17,Homework #862,1,Algorithmic Toolbox,9,Homework,0.5,2021-04-24,Completed
18,Homework #69,1,Algorithmic Toolbox,9,Homework,0.6,2021-04-21,Completed
19,Homework #772,1,Algorithmic Toolbox,9,Homework,0.8,2021-05-17,Completed
20,Homework #718,1,Algorithmic Toolbox,9,Homework,0.6,2021-04-02,Completed
21,Participation #63,1,Algorithmic Toolbox,9,Participation,0.8,2021-05-17,Completed
22,Participation #230,1,Algorithmic Toolbox,9,Participation,0.7,2021-05-19,Completed
23,Participation #432,1,Algorithmic Toolbox,9,Participation,0.8,2021-05-15,Completed
24,Quiz #965,1,Algorithmic Toolbox,9,Quiz,1.2,2021-03-31,Completed
25,Quiz #905,1,Algorithmic Toolbox,9,Quiz,1.2,2021-05-09,Completed
26,Quiz #495,1,Algorithmic Toolbox,9,Quiz,1.2,2021-05-11,Completed
27,Project #586,1,Algorithmic Toolbox,9,Project,1.3,2021-03-04,Completed
28,Project #113,1,Algorithmic Toolbox,9,Project,1.1,2021-03-31,Completed
29,Project #544,1,Algorithmic Toolbox,9,Project,1.3,2021-05-16,Completed
30,Midterm Exam,1,Algorithmic Toolbox,9,Exam,3,2021-04-13,Completed
31,Final Exam,1,Algorithmic Toolbox,9,Exam,5,2021-05-28,Completed
32,Homework #320,1,Algorithmic Toolbox,9,Homework,0.8,2021-05-17,Completed
33,Homework #96,1,Algorithmic Toolbox,9,Homework,0.7,2021-03-27,Completed
34,Homework #423,1,Algorithmic Toolbox,9,Homework,0.6,2021-04-26,Completed
35,Homework #247,1,Algorithmic Toolbox,9,Homework,0.6,2021-03-14,Completed
36,Homework #426,1,Algorithmic Toolbox,9,Homework,0.8,2021-03-18,Completed
37,Homework #934,1,Algorithmic Toolbox,9,Homework,0.8,2021-05-18,Completed
38,Participation #260,1,Algorithmic Toolbox,9,Participation,0.8,2021-03-23,Completed
39,Participation #163,1,Algorithmic Toolbox,9,Participation,0.5,2021-04-25,Completed
40,Participation #372,1,Algorithmic Toolbox,9,Participation,0.5,2021-05-23,Completed
41,Participation #304,1,Algorithmic Toolbox,9,Participation,0.8,2021-03-19,Completed
42,Quiz #840,1,Algorithmic Toolbox,9,Quiz,1.2,2021-03-19,Completed
43,Quiz #345,1,Algorithmic Toolbox,9,Quiz,1.2,2021-06-01,Completed
44,Quiz #172,1,Algorithmic Toolbox,9,Quiz,1.1,2021-05-27,Completed
45,Project #372,1,Algorithmic Toolbox,9,Project,1,2021-04-05,Completed
46,Project #495,1,Algorithmic Toolbox,9,Project,1.3,2021-03-31,Completed
47,Project #694,1,Algorithmic Toolbox,9,Project,1.3,2021-04-16,Completed
48,Midterm Exam,1,Algorithmic Toolbox,9,Exam,3,2021-04-23,Completed
49,Final Exam,1,Algorithmic Toolbox,9,Exam,5,2021-06-07,Completed
50,Homework #979,1,Algorithmic Toolbox,9,Homework,0.6,2021-05-06,Completed
51,Participation #280,1,Algorithmic Toolbox,9,Participation,0.7,2021-03-26,Completed
52,Participation #736,1,Algorithmic Toolbox,9,Participation,0.7,2021-06-09,Completed
53,Participation #11,1,Algorithmic Toolbox,9,Participation,0.6,2021-04-02,Completed
54,Participation #284,1,Algorithmic Toolbox,9,Participation,0.7,2021-05-31,Completed
55,Participation #242,1,Algorithmic Toolbox,9,Participation,0.5,2021-04-03,Completed
56,Participation #268,1,Algorithmic Toolbox,9,Participation,0.8,2021-05-10,Completed
57,Quiz #647,1,Algorithmic Toolbox,9,Quiz,1.2,2021-05-04,Completed
58,Quiz #375,1,Algorithmic Toolbox,9,Quiz,1,2021-04-20,Completed
59,Project #373,1,Algorithmic Toolbox,9,Project,1,2021-04-05,Completed
60,Project #697,1,Algorithmic Toolbox,9,Project,1.1,2021-04-05,Completed
61,Project #226,1,Algorithmic Toolbox,9,Project,1.2,2021-04-01,Completed
62,Midterm Exam,1,Algorithmic Toolbox,9,Exam,3,2021-05-03,Completed
63,Final Exam,1,Algorithmic Toolbox,9,Exam,5,2021-06-17,Completed
64,Homework #393,1,Algorithmic Toolbox,9,Homework,0.8,2021-04-10,Completed
65,Homework #449,1,Algorithmic Toolbox,9,Homework,0.7,2021-04-29,Completed
66,Homework #861,1,Algorithmic Toolbox,9,Homework,0.5,2021-06-20,Completed
67,Homework #460,1,Algorithmic Toolbox,9,Homework,0.8,2021-05-18,Completed
68,Participation #532,1,Algorithmic Toolbox,9,Participation,0.6,2021-06-15,Completed
69,Participation #480,1,Algorithmic Toolbox,9,Participation,0.7,2021-04-20,Completed
70,Participation #103,1,Algorithmic Toolbox,9,Participation,0.8,2021-05-02,Completed
71,Participation #839,1,Algorithmic Toolbox,9,Participation,0.7,2021-06-15,Completed
72,Participation #871,1,Algorithmic Toolbox,9,Participation,0.6,2021-04-26,Completed
73,Participation #51,1,Algorithmic Toolbox,9,Participation,0.7,2021-05-17,Completed
74,Participation #981,1,Algorithmic Toolbox,9,Participation,0.5,2021-04-13,Completed
75,Quiz #839,1,Algorithmic Toolbox,9,Quiz,1.1,2021-06-22,Completed
76,Quiz #743,1,Algorithmic Toolbox,9,Quiz,1.1,2021-05-26,Completed
77,Quiz #446,1,Algorithmic Toolbox,9,Quiz,1.1,2021-05-11,Completed
78,Project #392,1,Algorithmic Toolbox,9,Project,1,2021-06-19,Completed
79,Midterm Exam,1,Algorithmic Toolbox,9,Exam,3,2021-05-13,Completed
80,Final Exam,1,Algorithmic Toolbox,9,Exam,5,2021-06-27,Completed
81,Homework #886,1,Algorithmic Toolbox,9,Homework,0.6,2021-05-25,Completed
82,Homework #210,1,Algorithmic Toolbox,9,Homework,0.8,2021-05-07,Completed
83,Homework #704,1,Algorithmic Toolbox,9,Homework,0.6,2021-06-27,Completed
84,Homework #935,1,Algorithmic Toolbox,9,Homework,0.5,2021-06-29,Completed
85,Homework #232,1,Algorithmic Toolbox,9,Homework,0.7,2021-06-15,Completed
86,Homework #43,1,Algorithmic Toolbox,9,Homework,0.6,2021-07-01,Completed
87,Homework #190,1,Algorithmic Toolbox,9,Homework,0.7,2021-04-28,Completed
88,Participation #863,1,Algorithmic Toolbox,9,Participation,0.6,2021-04-30,Completed
89,Participation #926,1,Algorithmic Toolbox,9,Participation,0.8,2021-05-13,Completed
90,Participation #552,1,Algorithmic Toolbox,9,Participation,0.8,2021-05-21,Completed
91,Participation #956,1,Algorithmic Toolbox,9,Participation,0.6,2021-06-30,Completed
92,Quiz #79,1,Algorithmic Toolbox,9,Quiz,1.1,2021-05-06,Completed
93,Quiz #829,1,Algorithmic Toolbox,9,Quiz,1.2,2021-06-02,Completed
94,Quiz #680,1,Algorithmic Toolbox,9,Quiz,1.3,2021-06-13,Completed
95,Project #259,1,Algorithmic Toolbox,9,Project,1.2,2021-05-05,Completed
96,Midterm Exam,1,Algorithmic Toolbox,9,Exam,3,2021-05-23,Completed
97,Final Exam,1,Algorithmic Toolbox,9,Exam,5,2021-07-07,Completed
98,Homework #134,1,Algorithmic Toolbox,9,Homework,0.6,2021-05-08,Completed
99,Homework #175,1,Algorithmic Toolbox,9,Homework,0.5,2021-05-16,Completed
100,Homework #446,1,Algorithmic Toolbox,9,Homework,0.7,2021-05-25,Completed
101,Homework #656,1,Algorithmic Toolbox,9,Homework,0.8,2021-06-11,Completed
102,Homework #474,1,Algorithmic Toolbox,9,Homework,0.7,2021-06-26,Completed
103,Participation #369,1,Algorithmic Toolbox,9,Participation,0.8,2021-06-24,Completed
104,Participation #42,1,Algorithmic Toolbox,9,Participation,0.5,2021-06-15,Completed
105,Participation #603,1,Algorithmic Toolbox,9,Participation,0.6,2021-05-17,Completed
106,Participation #776,1,Algorithmic Toolbox,9,Participation,0.5,2021-06-16,Completed
107,Quiz #870,1,Algorithmic Toolbox,9,Quiz,1,2021-06-21,Completed
108,Quiz #401,1,Algorithmic Toolbox,9,Quiz,1.1,2021-05-22,Completed
109,Quiz #422,1,Algorithmic Toolbox,9,Quiz,1.3,2021-04-28,Completed
110,Project #320,1,Algorithmic Toolbox,9,Project,1.3,2021-05-01,Completed
111,Project #415,1,Algorithmic Toolbox,9,Project,1.3,2021-07-05,Completed
112,Midterm Exam,1,Algorithmic Toolbox,9,Exam,3,2021-06-02,Completed
113,Final Exam,1,Algorithmic Toolbox,9,Exam,5,2021-07-17,Completed
114,Homework #435,1,Algorithmic Toolbox,9,Homework,0.6,2021-05-17,Completed
115,Homework #260,1,Algorithmic Toolbox,9,Homework,0.7,2021-07-06,Completed
116,Homework #529,1,Algorithmic Toolbox,9,Homework,0.5,2021-05-13,Completed
117,Homework #765,1,Algorithmic Toolbox,9,Homework,0.7,2021-05-14,Completed
118,Homework #367,1,Algorithmic Toolbox,9,Homework,0.7,2021-05-05,Completed
119,Participation #747,1,Algorithmic Toolbox,9,Participation,0.5,2021-07-16,Completed
120,Quiz #93,1,Algorithmic Toolbox,9,Quiz,1.1,2021-07-06,Completed
121,Quiz #530,1,Algorithmic Toolbox,9,Quiz,1.2,2021-06-29,Completed
122,Quiz #535,1,Algorithmic Toolbox,9,Quiz,1.2,2021-07-08,Completed
123,Project #2,1,Algorithmic Toolbox,9,Project,1.2,2021-06-18,Completed
124,Project #801,1,Algorithmic Toolbox,9,Project,1.2,2021-06-07,Completed
125,Midterm Exam,1,Algorithmic Toolbox,9,Exam,3,2021-06-12,Completed
126,Final Exam,1,Algorithmic Toolbox,9,Exam,5,2021-07-27,Completed
127,Homework #667,1,Algorithmic Toolbox,9,Homework,0.7,2021-06-30,Completed
128,Homework #358,1,Algorithmic Toolbox,9,Homework,0.7,2021-06-22,Completed
129,Homework #809,1,Algorithmic Toolbox,9,Homework,0.6,2021-06-16,Completed
